
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
RuntimeBroker.exe            13180 Console                    1      2,264 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
ShellExperienceHost.exe       7532 Console                    1     46,744 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:01 New notification                                                        
RuntimeBroker.exe            11220 Console                    1     15,664 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 OleMainThreadWndName                                                    
WhatsApp.exe                 11040 Console                    1     63,316 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
RuntimeBroker.exe             4016 Console                    1     30,348 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
brave.exe                    16152 Console                    1   2,07,136 K Running         DESKTOP-2E1Q7E2\fenil                                   0:06:31 Downloads - Brave                                                       
brave.exe                    11816 Console                    1      8,460 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
brave.exe                     6700 Console                    1   1,56,548 K Running         DESKTOP-2E1Q7E2\fenil                                   0:01:26 N/A                                                                     
brave.exe                     8124 Console                    1     44,780 K Running         DESKTOP-2E1Q7E2\fenil                                   0:01:33 OleMainThreadWndName                                                    
brave.exe                     8544 Console                    1     20,796 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
brave.exe                    10468 Console                    1     23,472 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
brave.exe                     2128 Console                    1   1,48,792 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:41 N/A                                                                     
brave.exe                     9492 Console                    1     96,648 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:16 N/A                                                                     
brave.exe                     4112 Console                    1     28,812 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
smartscreen.exe              14940 Console                    1     12,904 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                    2028 Console                    1   2,24,312 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:19 Network, System and League of Legends Logs – League of Legends Support
chrome.exe                   11204 Console                    1      9,048 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                    5344 Console                    1   1,94,336 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:20 N/A                                                                     
chrome.exe                    3840 Console                    1     49,372 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:02 OleMainThreadWndName                                                    
